TotalCores,MatrixSize,SingleCore,Time
1,100,0,1680.3
1,200,0,9764.633333333333
1,300,0,30798.366666666665
1,400,0,68137.7
1,500,0,129878.73333333334
1,600,0,221491.53333333333
1,700,0,350949.8333333333
1,800,0,523869.26666666666
1,900,0,746003.6
1,1000,0,1019278.8
2,100,0,971.2333333333333
2,100,1,970.9666666666667
2,200,0,5155.6
2,200,1,5152.533333333334
2,300,0,13643.833333333334
2,300,1,13643.2
2,400,0,33490.03333333333
2,400,1,33484.53333333333
2,500,0,64373.03333333333
2,500,1,64366.7
2,600,0,112429.06666666667
2,600,1,112406.2
2,700,0,177455.43333333332
2,700,1,177415.06666666668
2,800,0,265555.0333333333
2,800,1,265509.86666666664
2,900,0,376556.2
2,900,1,376510.4
2,1000,0,518712.93333333335
2,1000,1,518666.36666666664
3,100,0,653.2
3,100,1,651.7333333333333
3,100,2,652.4333333333333
3,200,0,4578.733333333334
3,200,1,4590.466666666666
3,200,2,4577.533333333334
3,300,0,13252.9
3,300,1,13258.7
3,300,2,13231.3
3,400,0,28784.466666666667
3,400,1,28798.166666666668
3,400,2,28761.266666666666
3,500,0,56586.73333333333
3,500,1,56606.26666666667
3,500,2,56558.833333333336
3,600,0,81095.86666666667
3,600,1,81102.1
3,600,2,81078.76666666666
3,700,0,121787.06666666667
3,700,1,121779.7
3,700,2,121761.26666666666
3,800,0,181793.63333333333
3,800,1,181788.63333333333
3,800,2,181765.63333333333
3,900,0,259643.06666666668
3,900,1,259647.03333333333
3,900,2,259614.16666666666
3,1000,0,351267.8333333333
3,1000,1,351270.1
3,1000,2,351239.73333333334
4,100,0,517.6666666666666
4,100,1,515.5666666666667
4,100,2,515.1666666666666
4,100,3,515.7
4,200,0,3887.266666666667
4,200,1,3886.5
4,200,2,3895.1666666666665
4,200,3,3895.0666666666666
4,300,0,11633.933333333332
4,300,1,11620.2
4,300,2,11621.366666666667
4,300,3,11623.666666666666
4,400,0,24581.3
4,400,1,24563.6
4,400,2,24563.8
4,400,3,24567.266666666666
4,500,0,44185.03333333333
4,500,1,44160.13333333333
4,500,2,44170.3
4,500,3,44175.833333333336
4,600,0,68786.36666666667
4,600,1,68781.5
4,600,2,68769.43333333333
4,600,3,68749.9
4,700,0,109632.5
4,700,1,109624.4
4,700,2,109607.03333333334
4,700,3,109596.93333333333
4,800,0,156041.9
4,800,1,156026.86666666667
4,800,2,156016.06666666668
4,800,3,156012.46666666667
4,900,0,203273.06666666668
4,900,1,203256.5
4,900,2,203250.76666666666
4,900,3,203253.16666666666
4,1000,0,285789.0
4,1000,1,285775.7
4,1000,2,285761.23333333334
4,1000,3,285757.86666666664
5,100,0,430.5
5,100,1,428.1333333333333
5,100,2,427.6333333333333
5,100,3,427.8666666666667
5,100,4,428.6666666666667
5,200,0,3345.0
5,200,1,3343.866666666667
5,200,2,3346.133333333333
5,200,3,3351.4333333333334
5,200,4,3343.9
5,300,0,10236.1
5,300,1,10219.566666666668
5,300,2,10222.833333333334
5,300,3,10221.833333333334
5,300,4,10219.3
5,400,0,20079.833333333332
5,400,1,20062.933333333334
5,400,2,20072.0
5,400,3,20069.833333333332
5,400,4,20064.633333333335
5,500,0,35946.03333333333
5,500,1,35918.9
5,500,2,35923.5
5,500,3,35940.86666666667
5,500,4,35919.4
5,600,0,59045.8
5,600,1,59044.566666666666
5,600,2,59046.666666666664
5,600,3,59040.76666666667
5,600,4,59011.4
5,700,0,94827.1
5,700,1,94832.8
5,700,2,94830.6
5,700,3,94820.06666666667
5,700,4,94789.76666666666
5,800,0,140960.93333333332
5,800,1,140959.16666666666
5,800,2,140970.43333333332
5,800,3,140966.03333333333
5,800,4,140924.06666666668
5,900,0,177828.76666666666
5,900,1,177811.4
5,900,2,177830.36666666667
5,900,3,177827.93333333332
5,900,4,177803.5
5,1000,0,238161.1
5,1000,1,238146.1
5,1000,2,238159.0
5,1000,3,238151.66666666666
