TotalCores,MatrixSize,SingleCore,Time
1,100,0,561.9
1,200,0,4633.033333333334
1,300,0,16521.866666666665
1,400,0,44552.53333333333
1,500,0,92094.86666666667
1,600,0,166435.23333333334
1,700,0,272136.93333333335
1,800,0,416708.0
1,900,0,600951.4666666667
1,1000,0,836784.2
2,100,0,265.1
2,100,1,257.6
2,200,0,2389.633333333333
2,200,1,2387.9
2,300,0,8802.9
2,300,1,8794.9
2,400,0,22616.3
2,400,1,22610.433333333334
2,500,0,47484.26666666667
2,500,1,47475.46666666667
2,600,0,85708.03333333334
2,600,1,85699.43333333333
2,700,0,140262.53333333333
2,700,1,140252.0
2,800,0,213668.8
2,800,1,213663.4
2,900,0,310325.3
2,900,1,310320.1666666667
2,1000,0,429818.26666666666
2,1000,1,429813.86666666664
3,100,0,198.73333333333332
3,100,1,186.8
3,100,2,197.2
3,200,0,1660.0
3,200,1,1649.5333333333333
3,200,2,1658.5333333333333
3,300,0,5873.366666666667
3,300,1,5865.6
3,300,2,5870.8
3,400,0,15522.533333333333
3,400,1,15515.066666666668
3,400,2,15516.333333333334
3,500,0,32289.533333333333
3,500,1,32276.066666666666
3,500,2,32282.333333333332
3,600,0,58407.8
3,600,1,58397.4
3,600,2,58401.2
3,700,0,94995.0
3,700,1,94984.53333333334
3,700,2,94991.5
3,800,0,145143.16666666666
3,800,1,145131.76666666666
3,800,2,145139.53333333333
3,900,0,209380.3
3,900,1,209376.9
3,900,2,209379.66666666666
3,1000,0,292263.73333333334
3,1000,1,292259.3
3,1000,2,292263.23333333334
4,100,0,138.5
4,100,1,135.5
4,100,2,136.23333333333332
4,100,3,137.93333333333334
4,200,0,1222.8333333333333
4,200,1,1204.2
4,200,2,1221.9666666666667
4,200,3,1223.1333333333334
4,300,0,4419.3
4,300,1,4416.1
4,300,2,4415.333333333333
4,300,3,4418.233333333334
4,400,0,11699.4
4,400,1,11663.033333333333
4,400,2,11691.666666666666
4,400,3,11698.466666666667
4,500,0,24333.266666666666
4,500,1,24253.533333333333
