TotalCores,MatrixSize,Time,Speedup,Eficiencia
1,100,1680.3
1,200,9764.633333333333
1,300,30798.366666666665
1,400,68137.7
1,500,129878.73333333334
1,600,221491.53333333333
1,700,350949.8333333333
1,800,523869.26666666666
1,900,746003.6
1,1000,1019278.8
2,100,971.1,1.7303058387395736,0.8651529193697868
2,200,5154.0666666666675,1.8945492879409136,0.9472746439704568
2,300,13643.516666666666,2.2573627767034647,1.1286813883517324
2,400,33487.28333333333,2.0347335829471587,1.0173667914735793
2,500,64369.86666666667,2.0176946148715547,1.0088473074357773
2,600,112417.63333333333,1.9702561490205124,0.9851280745102562
2,700,177435.25,1.9779036765993978,0.9889518382996989
2,800,265532.44999999995,1.9729011149735813,0.9864505574867907
2,900,376533.30000000005,1.9812420309173182,0.9906210154586591
2,1000,518689.65,1.9651034101027465,0.9825517050513732
3,100,652.4555555555556,2.575347831269903,0.8584492770899677
3,200,4582.2444444444445,2.1309717217666257,0.710323907255542
3,300,13247.633333333331,2.3248202823649007,0.7749400941216336
3,400,28781.3,2.367429546267889,0.7891431820892963
3,500,56583.944444444445,2.295328376424015,0.7651094588080051
3,600,81092.24444444444,2.731352854403668,0.9104509514678893
3,700,121776.0111111111,2.8819291265265616,0.9606430421755205
3,800,181782.63333333333,2.8818444152805944,0.9606148050935315
3,900,259634.75555555554,2.8732809611861585,0.9577603203953862
3,1000,351259.22222222225,2.901785164675787,0.9672617215585957
4,100,516.0250000000001,3.256237585388304,0.814059396347076
4,200,3891.0,2.5095433907307463,0.6273858476826866
4,300,11624.791666666666,2.6493693435366223,0.6623423358841556
4,400,24568.991666666665,2.7733209781028187,0.6933302445257047
4,500,44172.825000000004,2.940240596641336,0.735060149160334
4,600,68771.79999999999,3.2206737839250006,0.8051684459812501
4,700,109615.21666666667,3.20165250779507,0.8004131269487675
4,800,156024.325,3.3576127739483352,0.8394031934870838
4,900,203258.37499999997,3.670223182685585,0.9175557956713962
4,1000,285770.95,3.566768420652974,0.8916921051632435
5,100,428.55999999999995,3.9208045547881283,0.7841609109576256
5,200,3346.066666666667,2.918242314359148,0.5836484628718296
